Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,18.430000,18.799999,18.240000,18.420000,18.287653,3877800
2020-04-22,18.389999,18.840000,18.110001,18.420000,18.287653,5023200
2020-04-23,18.510000,18.650000,17.680000,17.889999,17.761463,6529900
2020-04-24,17.500000,17.750000,15.550000,15.930000,15.815548,14825200
2020-04-27,16.730000,17.330000,16.330000,16.450001,16.331812,6515700
2020-04-28,17.350000,18.170000,17.299999,18.070000,17.940172,6886800
2020-04-29,18.469999,18.770000,18.010000,18.770000,18.635143,4727400
2020-04-30,17.459999,18.020000,17.360001,17.559999,17.433834,7317800
2020-05-04,16.959999,17.049999,16.480000,16.889999,16.768648,5964400
2020-05-05,16.969999,17.559999,16.770000,16.850000,16.746038,5449500
2020-05-06,16.820000,17.020000,16.230000,16.459999,16.358444,5046400
2020-05-07,16.520000,16.670000,15.790000,15.920000,15.821776,10904700
2020-05-08,16.400000,16.820000,16.240000,16.629999,16.527393,4559000
2020-05-11,16.510000,17.150000,16.320000,16.340000,16.239185,5068600
2020-05-12,16.500000,16.629999,15.820000,15.820000,15.722393,5357800
2020-05-13,16.000000,16.290001,15.420000,15.700000,15.603134,6325800
2020-05-14,15.520000,16.450001,15.020000,16.379999,16.278938,6524900
2020-05-15,16.230000,16.590000,15.750000,15.810000,15.712456,5108300
2020-05-18,16.440001,16.580000,16.049999,16.559999,16.457827,4853600
2020-05-19,16.450001,16.530001,16.000000,16.000000,15.901282,3768500
2020-05-20,16.230000,16.450001,16.030001,16.299999,16.199430,4441700
2020-05-21,16.309999,17.350000,16.309999,17.299999,17.193260,5058800
2020-05-22,17.260000,17.430000,16.910000,17.020000,16.914989,5450000
2020-05-25,17.700001,18.410000,17.670000,18.379999,18.266598,5428600
2020-05-26,18.840000,18.900000,17.540001,17.549999,17.441719,7481200
2020-05-27,17.950001,18.040001,17.510000,17.830000,17.719994,6168800
2020-05-28,17.799999,17.950001,17.400000,17.670000,17.560980,6345100
2020-05-29,17.520000,17.799999,17.080000,17.799999,17.690178,16800100
2020-06-01,17.690001,18.559999,17.540001,18.370001,18.256662,6628700
2020-06-02,18.709999,19.059999,18.559999,19.049999,18.950254,6355100
2020-06-03,19.850000,20.280001,19.730000,19.910000,19.805756,8635200
2020-06-04,19.840000,20.389999,19.459999,19.990000,19.885334,8237800
2020-06-05,21.389999,21.500000,20.450001,20.450001,20.342930,9102800
2020-06-08,20.840000,21.500000,20.790001,21.430000,21.317797,6730300
2020-06-09,20.950001,21.490000,20.750000,21.209999,21.098949,6159100
2020-06-10,21.549999,21.600000,20.360001,20.360001,20.253399,8277400
2020-06-12,19.549999,20.040001,19.400000,19.889999,19.785858,8756800
2020-06-15,19.280001,19.860001,19.110001,19.549999,19.447639,6635300
2020-06-16,20.209999,20.530001,19.850000,20.190001,20.084291,5471500
2020-06-17,20.209999,20.920000,20.120001,20.459999,20.352875,7130200
2020-06-18,20.299999,20.780001,20.110001,20.450001,20.342930,6710200
2020-06-19,20.709999,20.850000,19.990000,19.990000,19.885334,12895800
2020-06-22,20.309999,20.440001,19.510000,19.639999,19.537170,8121200
2020-06-23,20.000000,20.240000,19.459999,19.650000,19.547117,6119200
2020-06-24,19.600000,19.690001,19.100000,19.219999,19.119368,6083500
2020-06-25,19.379999,19.870001,19.200001,19.629999,19.527222,4945800
2020-06-26,19.430000,19.620001,18.930000,19.080000,18.980099,4529000
2020-06-29,19.139999,19.629999,19.090000,19.559999,19.457588,3466400
2020-06-30,19.209999,19.350000,18.860001,18.959999,18.860729,6912900
2020-07-01,19.129999,19.559999,19.080000,19.280001,19.179056,5502800
2020-07-02,19.730000,19.980000,19.420000,19.430000,19.345577,3401300
2020-07-03,19.320000,19.549999,19.230000,19.430000,19.345577,1789800
2020-07-06,20.040001,20.750000,19.910000,20.730000,20.639929,5979700
